documento 	termino1	termino2	termino3	termino4	termino5	termino6	termino7	termino8	termino9	termino10
documento146	5	6	4	5	4	6	7	5	6	5
documento147	6	4	5	5	5	6	7	5	6	5
documento148	4	6	5	4	5	6	7	5	5	4
documento149	5	4	4	5	4	6	7	4	4	6
documento150	4	4	5	6	5	6	7	6	6	5
documento151	4	5	4	5	6	6	7	5	4	6
documento152	4	5	4	6	5	6	7	5	6	5
documento153	7	9	9	7	9	7	7	9	8	9
documento154	9	7	9	8	9	8	9	8	8	9
documento155	8	8	7	9	9	7	9	7	8	9
documento156	7	9	7	8	9	7	8	9	8	9
documento157	7	9	8	9	7	7	9	8	8	9
documento158	8	8	8	7	7	7	8	7	8	9
documento159	9	7	8	9	7	8	8	7	8	9
documento160	8	7	9	8	7	7	8	7	8	9
documento161	8	7	8	8	8	9	7	9	8	9
documento162	9	7	9	8	8	7	7	9	8	9
documento163	9	8	7	8	8	9	7	9	8	9
documento164	9	9	8	7	8	9	7	8	8	9
documento165	9	9	9	7	9	9	7	9	8	9
documento166	8	7	9	9	8	7	8	9	8	9
documento167	9	9	9	7	7	8	8	9	8	9
documento168	9	9	8	7	9	9	9	9	8	9
documento169	7	8	8	9	8	8	8	9	8	9
documento170	7	9	9	8	7	9	7	7	8	9
documento171	8	7	8	7	7	8	8	8	8	9
documento172	9	7	8	9	9	9	7	7	8	9
documento173	8	7	7	9	7	9	9	8	8	9
documento174	8	7	8	8	7	9	9	9	8	9
documento175	9	9	9	9	8	9	7	8	8	9
documento176	8	9	9	8	7	8	9	8	8	9
documento177	7	9	9	9	7	8	8	9	8	9
documento178	7	7	9	9	8	9	9	9	8	9
documento179	7	9	8	8	9	7	7	8	8	9
documento180	8	9	8	8	8	8	8	7	8	9
