documento 	termino1	termino2	termino3	termino4	termino5	termino6	termino7	termino8	termino9	termino10	clase
documento111	1	3	3	4	1	1	1	2	3	1	B
documento112	2	1	3	4	2	3	2	3	3	1	B
documento113	2	3	3	4	1	3	1	1	2	2	B
documento114	3	2	3	4	1	2	3	2	1	1	B
documento115	2	2	3	4	1	3	1	1	2	1	B
documento116	2	3	3	4	2	1	2	1	2	3	B
documento117	2	3	3	4	3	1	3	2	3	2	B
documento118	2	3	3	4	1	2	1	3	3	2	B
documento119	1	3	3	4	2	2	3	2	1	3	B
documento120	2	1	3	4	3	3	2	3	2	3	B
documento121	3	1	3	4	3	3	1	3	3	2	C
documento122	1	2	3	4	1	1	1	3	2	1	C
documento123	1	2	3	4	2	3	1	1	3	3	C
documento124	2	1	3	4	2	2	3	2	3	2	C
documento125	2	1	3	4	3	3	3	1	2	3	C
documento126	3	1	3	4	2	1	2	2	3	2	C
documento127	9	7	7	8	7	8	8	9	8	9	C
documento128	6	4	4	4	5	6	7	4	5	5	C
documento129	5	5	5	6	6	6	7	5	5	6	C
documento130	6	6	6	6	6	6	7	4	5	6	C
documento131	4	4	6	4	5	6	7	4	5	4	C
documento132	4	5	5	4	6	6	7	4	6	4	C
documento133	4	4	4	6	6	6	7	4	6	4	C
documento134	6	6	4	5	6	6	7	6	6	6	C
documento135	6	5	6	6	6	6	7	6	5	6	C
documento136	4	4	5	5	4	6	7	5	6	6	C
documento137	6	4	4	6	5	6	7	5	5	5	C
documento138	6	4	5	5	5	6	7	4	4	5	C
documento139	4	6	5	4	5	6	7	5	6	4	C
documento140	5	6	5	4	4	6	7	6	5	6	C
documento141	4	4	4	5	5	6	7	4	4	6	C
documento142	4	4	4	6	4	6	7	5	6	4	C
documento143	4	4	4	5	4	6	7	4	4	5	C
documento144	4	4	5	6	6	6	7	6	6	5	C
documento145	6	5	5	5	4	6	7	4	5	4	C
documento146	5	6	4	5	4	6	7	5	6	5	C
documento147	6	4	5	5	5	6	7	5	6	5	C
documento148	4	6	5	4	5	6	7	5	5	4	C
documento149	5	4	4	5	4	6	7	4	4	6	C
documento150	4	4	5	6	5	6	7	6	6	5	C
documento151	4	5	4	5	6	6	7	5	4	6	C
documento152	4	5	4	6	5	6	7	5	6	5	C
documento153	7	9	9	7	9	7	7	9	8	9	C
documento154	9	7	9	8	9	8	9	8	8	9	C
documento155	8	8	7	9	9	7	9	7	8	9	C
documento156	7	9	7	8	9	7	8	9	8	9	C
documento157	7	9	8	9	7	7	9	8	8	9	C
documento158	8	8	8	7	7	7	8	7	8	9	C
documento159	9	7	8	9	7	8	8	7	8	9	C
documento160	8	7	9	8	7	7	8	7	8	9	C
documento161	8	7	8	8	8	9	7	9	8	9	C
documento162	9	7	9	8	8	7	7	9	8	9	C
documento163	9	8	7	8	8	9	7	9	8	9	C
documento164	9	9	8	7	8	9	7	8	8	9	C
documento165	9	9	9	7	9	9	7	9	8	9	C
documento166	8	7	9	9	8	7	8	9	8	9	C
documento167	9	9	9	7	7	8	8	9	8	9	C
documento168	9	9	8	7	9	9	9	9	8	9	C
documento169	7	8	8	9	8	8	8	9	8	9	C
documento170	7	9	9	8	7	9	7	7	8	9	C
documento171	8	7	8	7	7	8	8	8	8	9	C
documento172	9	7	8	9	9	9	7	7	8	9	C
documento173	8	7	7	9	7	9	9	8	8	9	C
documento174	8	7	8	8	7	9	9	9	8	9	C
documento175	9	9	9	9	8	9	7	8	8	9	C
documento176	8	9	9	8	7	8	9	8	8	9	C
documento177	7	9	9	9	7	8	8	9	8	9	C
documento178	7	7	9	9	8	9	9	9	8	9	C
documento179	7	9	8	8	9	7	7	8	8	9	C
documento180	8	9	8	8	8	8	8	7	8	9	C
